,Date,Event / Info,Source,Type
,11/21/24,"The Crimson reports that Saul Noam Zaritt, Harvard’s only tenure-track Yiddish instructor, filed a grievance with FAS, citing procedural irregularities in his tenure review. Zaritt previously signed a statement by scholars of Jewish Studies and Israel Studies that supported “colleagues’ right, if they choose to do so, to respond to ongoing events through non-violent protest, including in the form of boycott or other organized economic pressure on Israel.”",Crimson,
,11/24/25,"Project Shema training, faces blowback",Crimson,
,11/25/24,"Crimson Editorial Board publishes ""Harvard Must Act to Save Jewish Studies""",Crimson,
,12/11/24,"President Garber condemns ""Zionists Not Welcome Here"" rhetoric",Crimson,
,,,,
,,,,
,12/??/24,"Harvard College Admissions official IG account features students in keffiyehs, prompting many 1636 readers to reach out with their thoughts. One alum said, ""On its face, these pictures are wholly appropriate. But, the admissions department would absolutely never show a group of students who are either Israeli or Jewish doing any comparable activities on campus and herein lies the covert discrimination. This matter has been brought forward to the university in the past to no avail.”",Screenshot,
,01/29/25,"Trump signs an executive order calling for tougher enforcement of government efforts against antisemitism: ""Jewish students have faced an unrelenting barrage of discrimination; denial of access to campus common areas and facilities, including libraries and classrooms; and intimidation, harassment, and physical threats and assault...""",Federal Register,
,01/30/25,"HBS Dean Srikant Datar opts to publish a high-level summary of HBS's reports from it's working groups on Antisemitism, Islamophobia and Anti-Arabism, and Free Expression and Community Values.",https://www.hbs.edu/news/articles/Pages/working-groups-update.aspx,
,03/05/25,Chabad hostage posters torn down,https://www.thecrimson.com/article/2025/3/5/hostage-posters-removed-investigation/,
,03/10/25,Harvard dismisses librarian who tore down posters,https://www.thecrimson.com/article/2025/3/10/librarian-removed-posters-harvard/,
,03/26/25,School of Public Health’s FXB Center partnership with Birzeit University suspended,"A year into role, Chan School dean focused on driving change amid deep challenges",
,03/28/25,"Student reported to the Harvard College Administrative Board for reserving a room for the African and African American Resistance Organization (AFRO), and unrecognized student organization that self-describes as “militant” and has backed recent efforts to divest Harvard from ties to Israel.
",https://www.thecrimson.com/article/2025/3/29/adams-house-afro-warning/,
,03/29/25,"Student reported to the Harvard College Administrative Board for reserving a room for the African and African American Resistance Organization (AFRO), an unrecognized student organization that self-describes as “militant” and has backed recent efforts to divest Harvard from ties to Israel.
",https://www.thecrimson.com/article/2025/3/29/harvard-cmes-director-departure/,
,03/28/25,"Student reported to the Harvard College Administrative Board for reserving a room for the African and African American Resistance Organization (AFRO), and unrecognized student organization that self-describes as “militant” and has backed recent efforts to divest Harvard from ties to Israel.
",https://www.thecrimson.com/article/2025/3/29/adams-house-afro-warning/,
,,HLS faculty close room rather than confront unauthorized anti-Israel event,,
